Initial-/-Final,-a,-ai,-ao,-an,-ang,-e,-ei,-en,-eng,-er,-o,-ou,-ong,-i,-i*,-ia,-iao,-ie,-iu,-ian,-iang,-in,-ing,-iong,-u,-ua,-uai,-ui,-uo,-uan,-uang,-un,-ü,-üe,-üan,-ün
∅-,a [a],ai [ai],ao [au],an [an],ang [aŋ],e [ə],ei [ei],en [ən],eng [əŋ],er [ə r],o [ɔ],ou [əu],,,,,,,,,,,,,,,,,,,,,,,,
b-,ba [b a],bai [b ai],bao [b au],ban [b an],bang [b aŋ],,bei [b ei],ben [b ən],beng [b əŋ],,bo [b u ɔ],,,bi [b ii],,,biao [b i au],bie [b ie],,bian [b i an],,bin [b in],bing [b iŋ],,bu [b uu],,,,,,,,,,,
c-,ca [ts a],cai [ts ai],cao [ts au],can [ts an],cang [ts aŋ],ce [ts ə],cei [ts ei],cen [ts ən],ceng [ts əŋ],,,cou [ts əu],cong [ts uŋ],,ci [ts iii],,,,,,,,,,cu [ts uu],,,cui [ts u ei],cuo [ts u ɔ],cuan [ts u an],,cun [ts u ən],,,,
ch-,cha [ch a],chai [ch ai],chao [ch au],chan [ch an],chang [ch aŋ],che [ch ə],,chen [ch ən],cheng [ch əŋ],,,chou [ch əu],chong [ch uŋ],,chi [ch iii],,,,,,,,,,chu [ch uu],chua [ch u a],chuai [ch u ai],chui [ch u ei],chuo [ch u ɔ],chuan [ch u an],chuang [ch u aŋ],chun [ch u ən],,,,
d-,da [d a],dai [d ai],dao [d au],dan [d an],dang [d aŋ],de [d ə],dei [d ei],den [d ən],deng [d əŋ],,,dou [d əu],dong [d uŋ],di [d ii],,,diao [d i au],die [d ie],diu [d i əu],dian [d i an],,,ding [d iŋ],,du [d uu],,,dui [d u ei],duo [d u ɔ],duan [d u an],,dun [d u ən],,,,
f-,fa [f a],,,fan [f an],fang [f aŋ],,fei [f ei],fen [f ən],feng [f əŋ],,fo [f u ɔ],fou [f əu],,,,,,,,,,,,,fu [f uu],,,,,,,,,,,
g-,ga [g a],gai [g ai],gao [g au],gan [g an],gang [g aŋ],ge [g ə],gei [g ei],gen [g ən],geng [g əŋ],,,gou [g əu],gong [g uŋ],,,,,,,,,,,,gu [g uu],gua [g u a],guai [g u ai],gui [g u ei],guo [g u ɔ],guan [g u an],guang [g u aŋ],gun [g u ən],,,,
h-,ha [h a],hai [h ai],hao [h au],han [h an],hang [h aŋ],he [h ə],hei [h ei],hen [h ən],heng [h əŋ],,,hou [h əu],hong [h uŋ],,,,,,,,,,,,hu [h uu],hua [h u a],huai [h u ai],hui [h u ei],huo [h u ɔ],huan [h u an],huang [h u aŋ],hun [h u ən],,,,
j-,,,,,,,,,,,,,,ji [j ii],,jia [j i a],jiao [j i au],jie [j ie],jiu [j i əu],jian [j i an],jiang [j i aŋ],jin [j in],jing [j iŋ],jiong [j i uŋ],,,,,,,,,jv [j yu],jve [j yue],jvan [j yu an],jvn [j yu n]
k-,ka [k a],kai [k ai],kao [k au],kan [k an],kang [k aŋ],ke [k ə],kei [k ei],ken [k ən],keng [k əŋ],,,kou [k əu],kong [k uŋ],,,,,,,,,,,,ku [k uu],kua [k u a],kuai [k u ai],kui [k u ei],kuo [k u ɔ],kuan [k u an],kuang [k u aŋ],kun [k u ən],,,,
l-,la [l a],lai [l ai],lao [l au],lan [l an],lang [l aŋ],le [l ə],lei [l ei],,leng [l əŋ],,lo [l u ɔ],lou [l əu],long [l uŋ],li [l ii],,lia [l i a],liao [l i au],lie [l ie],liu [l i əu],lian [l i an],liang [l i aŋ],lin [l in],ling [l iŋ],,lu [l uu],,,,luo [l u ɔ],luan [l u an],,lun [l u ən],lv [l yu],lve [l yue],,
m-,ma [m a],mai [m ai],mao [m au],man [m an],mang [m aŋ],me [m ə],mei [m ei],men [m ən],meng [m əŋ],,mo [m u ɔ],mou [m əu],,mi [m ii],,,miao [m i au],mie [m ie],miu [m i əu],mian [m i an],,min [m in],ming [m iŋ],,mu [m uu],,,,,,,,,,,
n-,na [n a],nai [n ai],nao [n au],nan [n an],nang [n aŋ],ne [n ə],nei [n ei],nen [n ən],neng [n əŋ],,,nou [n əu],nong [n uŋ],ni [n ii],,,niao [n i au],nie [n ie],niu [n i əu],nian [n i an],niang [n i aŋ],nin [n in],ning [n iŋ],,nu [n uu],,,,nuo [n u ɔ],nuan [n u an],,,nv [n yu],nve [n yue],,
p-,pa [p a],pai [p ai],pao [p au],pan [p an],pang [p aŋ],,pei [p ei],pen [p ən],peng [p əŋ],,po [p u ɔ],pou [p əu],,pi [p ii],,,piao [p i au],pie [p ie],,pian [p i an],,pin [p in],ping [p iŋ],,pu [p uu],,,,,,,,,,,
q-,,,,,,,,,,,,,,qi [q ii],,qia [q i a],qiao [q i au],qie [q ie],qiu [q i əu],qian [q i an],qiang [q i aŋ],qin [q in],qing [q iŋ],qiong [q i uŋ],,,,,,,,,qv [q yu],qve [q yue],qvan [q yu an],qvn [q yu n]
r-,,,rao [ʒ au],ran [ʒ an],rang [ʒ aŋ],re [ʒ ə],,ren [ʒ ən],reng [ʒ əŋ],,,rou [ʒ əu],rong [ʒ uŋ],,ri [ʒ iii],,,,,,,,,,ru [ʒ uu],rua [ʒ u a],,rui [ʒ u ei],ruo [ʒ u ɔ],ruan [ʒ u an],,run [ʒ u ən],,,,
s-,sa [s a],sai [s ai],sao [s au],san [s an],sang [s aŋ],se [s ə],,sen [s ən],seng [s əŋ],,,sou [s əu],song [s uŋ],,si [s iii],,,,,,,,,,su [s uu],,,sui [s u ei],suo [s u ɔ],suan [s u an],,sun [s u ən],,,,
sh-,sha [sh a],shai [sh ai],shao [sh au],shan [sh an],shang [sh aŋ],she [sh ə],shei [sh ei],shen [sh ən],sheng [sh əŋ],,,shou [sh əu],,,shi [sh iii],,,,,,,,,,shu [sh uu],shua [sh u a],shuai [sh u ai],shui [sh u ei],shuo [sh u ɔ],shuan [sh u an],shuang [sh u aŋ],shun [sh u ən],,,,
t-,ta [t a],tai [t ai],tao [t au],tan [t an],tang [t aŋ],te [t ə],,,teng [t əŋ],,,tou [t əu],tong [t uŋ],ti [t ii],,,tiao [t i au],tie [t ie],,tian [t i an],,,ting [t iŋ],,tu [t uu],,,tui [t u ei],tuo [t u ɔ],tuan [t u an],,tun [t u ən],,,,
w-,wa [w ɑ],wai [w aɪ],,wan [w an],wang [w aŋ],,wei [w ei],wen [w ən],weng [w əŋ],,wo [w ɔ],,,,,,,,,,,,,,wu [w uu],,,,,,,,,,,
x-,,,,,,,,,,,,,,xi [x ii],,xia [x i a],xiao [x i au],xie [x ie],xiu [x i əu],xian [x i an],xiang [x i aŋ],xin [x in],xing [x iŋ],xiong [x i uŋ],,,,,,,,,xv [x yu],xve [x yue],xvan [x yu an],xvn [x yu n]
y-,ya [y a],,yao [y au],yan [y an],yang [y aŋ],ye [y ie],,,,,,you [y əu̯],yong [y uŋ],yi [y ii],,,,,,,,yin [y in],ying [y iŋ],,,,,,,,,,yv [yu],yve [yue],yvan [yu an],yvn [yu n]
z-,za [z a],zai [z ai],zao [z au],zan [z an],zang [z aŋ],ze [z ə],zei [z ei],zen [z ən],zeng [z əŋ],,,zou [z əu],zong [z uŋ],,zi [z iii],,,,,,,,,,zu [z uu],,,zui [z u ei],zuo [z u ɔ],zuan [z u an],,zun [z u ən],,,,
zh-,zha [zh a],zhai [zh ai],zhao [zh au],zhan [zh an],zhang [zh aŋ],zhe [zh ə],zhei [zh ei],zhen [zh ən],zheng [zh əŋ],,,zhou [zh əu],zhong [zh uŋ],,zhi [zh iii],,,,,,,,,,zhu [zh uu],zhua [zh u a],zhuai [zh u ai],zhui [zh u ei],zhuo [zh u ɔ],zhuan [zh u an],zhuang [zh u aŋ],zhun [zh u ən],,,,
